city,country,latitude,longitude,models,baseline_mean_c,future_mean_c,mean_warming_c,min_warming_c,max_warming_c,spread_c,spread_over_warming,all_models_warm,baseline_days_over_35,future_days_over_35,min_future_days_over_35,max_future_days_over_35,source
Manila,PH,14.6,120.98,7,26.82,27.72,0.9,0.21,1.14,0.93,1.03,1,9.8,16.9,7.2,26.6,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Jakarta,ID,-6.21,106.85,7,26.31,27.26,0.95,0.67,1.16,0.49,0.51,1,3.2,4.6,0.0,25.7,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Delhi,IN,28.61,77.21,7,24.94,25.67,0.72,0.03,1.57,1.54,2.13,1,72.0,75.8,57.4,99.4,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Dhaka,BD,23.81,90.41,7,25.38,26.1,0.72,0.3,1.08,0.78,1.09,1,25.0,29.5,15.7,44.1,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Lagos,NG,6.52,3.38,7,26.61,27.45,0.84,0.48,0.99,0.51,0.6,1,2.5,3.8,0.1,20.4,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Nairobi,KE,-1.29,36.82,7,18.83,20.01,1.19,1.03,1.38,0.34,0.29,1,0.2,0.4,0.0,2.8,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Cairo,EG,30.04,31.24,7,21.95,23.41,1.46,1.07,1.71,0.64,0.44,1,63.9,81.6,77.4,89.2,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Sao Paulo,BR,-23.55,-46.63,7,19.63,20.62,0.99,0.8,1.22,0.42,0.42,1,1.0,2.5,0.0,8.7,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Reykjavik,IS,64.15,-21.94,7,4.3,5.43,1.12,0.89,1.25,0.36,0.32,1,0.0,0.0,0.0,0.0,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
Moscow,RU,55.76,37.62,5,5.31,6.74,1.42,1.07,1.68,0.61,0.43,1,0.6,0.6,0.0,1.3,"Open-Meteo CMIP6 downscaled projections, climate-api.open-meteo.com"
